SA3_code,first_year,last_year,n_tests_first,n_tests_last,years_testing,intensity_change,intensity_pct_change
10102,2015,2024,1,1,7,0,0
10103,2015,2023,1,1,4,0,0
10104,2014,2024,7,53,11,46,657.1428571428571
10105,2016,2024,3,1,7,-2,-66.66666666666666
10106,2021,2024,1,2,4,1,100
10201,2014,2024,18,61,11,43,238.88888888888889
10202,2014,2024,2,23,11,21,1050
10301,2016,2024,1,2,5,1,100
10302,2018,2024,3,2,6,-1,-33.33333333333333
10303,2014,2024,1,3,7,2,200
10304,2014,2024,1,3,7,2,200
10401,2014,2024,2,4,11,2,100
10402,2014,2024,24,148,11,124,516.6666666666667
10501,2018,2024,2,2,5,0,0
10503,2014,2024,1,3,11,2,200
10601,2014,2024,1,7,11,6,600
10602,2015,2024,1,2,10,1,100
10603,2015,2024,3,6,10,3,100
10604,2014,2024,3,2,7,-1,-33.33333333333333
10701,2016,2024,1,3,7,2,200
10702,2014,2024,3,7,11,4,133.33333333333331
10703,2015,2024,2,10,9,8,400
10704,2014,2024,1,7,9,6,600
10801,2016,2024,1,5,8,4,400
10802,2014,2024,4,33,11,29,725
10804,2014,2024,4,12,11,8,200
10805,2015,2024,4,6,9,2,50
10901,2018,2024,1,1,3,0,0
10903,2014,2023,1,1,4,0,0
11001,2014,2024,4,3,11,-1,-25
11002,2014,2024,2,2,10,0,0
11003,2016,2022,1,1,4,0,0
11004,2014,2024,1,2,9,1,100
11101,2014,2024,1,9,11,8,800
11102,2014,2024,8,24,11,16,200
11103,2014,2024,2,6,11,4,200
11201,2014,2024,9,96,11,87,966.6666666666666
11202,2014,2024,10,101,11,91,910
11203,2014,2024,2,9,11,7,350
11302,2014,2024,1,5,9,4,400
11303,2015,2024,1,4,8,3,300
11401,2014,2024,12,81,11,69,575
11402,2014,2024,2,2,10,0,0
11501,2014,2024,5,12,11,7,140
11502,2014,2024,5,10,11,5,100
11503,2014,2024,2,2,10,0,0
11504,2014,2024,3,2,9,-1,-33.33333333333333
