"Age_cat","Sex","n","lower","upper"
"0-14","F",201,174.171645399196,230.791050158866
"0-14","M",249,219.030057905253,281.925764672143
"15-24","F",1005,943.81824965602,1069.10682829782
"15-24","M",453,412.239603492818,496.700428900601
"25-34","F",1220,1152.4934206651,1290.42882666106
"25-34","M",607,559.665660242317,657.268186919543
"35-44","F",1567,1490.36559106065,1646.55338152517
"35-44","M",798,743.586339000259,855.342480167811
"45-54","F",1673,1593.78423660871,1755.13394462414
"45-54","M",917,858.601111303729,978.325402203168
"55-64","F",1676,1596.71238787412,1758.20577205796
"55-64","M",864,807.34198287679,923.585498795055
"65-74","F",1312,1241.95893285103,1384.96232111111
"65-74","M",730,677.998111680716,784.932270360892
"75-84","F",413,374.124270601444,454.817908429448
"75-84","M",294,261.350561469243,329.600403542207
"85+","F",53,39.7006369323575,69.3253049292042
"85+","M",44,31.9704673581443,59.0679462803077
