"Age_cat","Sex","n","lower","upper"
"0-14","F",92,74.1649847662624,112.829833001676
"0-14","M",116,95.8530445014135,139.130950478297
"15-24","F",212,184.421124008114,242.53979378514
"15-24","M",180,154.663900622556,208.302626901787
"25-34","F",226,197.493560242321,257.465284000848
"25-34","M",185,159.30102095495,213.664535802572
"35-44","F",379,341.799374873945,419.144888520591
"35-44","M",258,227.475902996231,291.478847917893
"45-54","F",511,467.649032023427,557.288345482525
"45-54","M",351,315.236218646245,389.709982749488
"55-64","F",695,644.283334179469,748.647939928465
"55-64","M",437,396.983064020124,479.957791783874
"65-74","F",626,577.915631644431,677.017614520721
"65-74","M",393,355.100877283209,433.842495303456
"75-84","F",182,156.518150881211,210.447983580359
"75-84","M",146,123.278562510866,171.695825170326
"85+","F",23,14.5800270370447,34.511292894833
"85+","M",13,6.9219524910038,22.2303959181589
