"SA3_code","intensity_pct_change"
10102,0
10103,0
10104,657.142857142857
10105,-66.6666666666667
10106,100
10201,238.888888888889
10202,1050
10301,100
10302,-33.3333333333333
10303,200
10304,200
10401,100
10402,516.666666666667
10501,0
10503,200
10601,600
10602,100
10603,100
10604,-33.3333333333333
10701,200
10702,133.333333333333
10703,400
10704,600
10801,400
10802,725
10804,200
10805,50
10901,0
10903,0
11001,-25
11002,0
11003,0
11004,100
11101,800
11102,200
11103,200
11201,966.666666666667
11202,910
11203,350
11302,400
11303,300
11401,575
11402,0
11501,140
11502,100
11503,0
11504,-33.3333333333333
11601,100
11602,50
11603,100
11701,400
11702,100
11703,1500
11801,400
11802,1000
11901,0
11902,500
11903,500
11904,200
12001,0
12002,600
12003,700
12101,160
12102,273.333333333333
12103,221.739130434783
12104,225
12201,566.666666666667
12202,633.333333333333
12203,524
12301,100
12302,100
12303,0
12401,600
12402,300
12403,200
12404,100
12501,100
12502,80
12503,800
12504,100
12601,300
12602,380
12701,-50
12702,25
12703,300
12801,150
12802,700
20101,100
20102,0
20201,0
20202,0
20301,100
20302,0
20303,0
20401,0
20402,0
20403,0
20501,0
20502,300
20503,100
20504,200
20505,0
20601,-50
20602,0
20603,100
20604,0
20605,100
20606,50
20607,100
20701,50
20702,0
20703,100
20801,300
20802,66.6666666666667
20803,100
20804,200
20901,-33.3333333333333
20902,50
20903,0
20904,-33.3333333333333
21001,100
21002,-50
21003,0
21005,100
21101,100
21102,0
21103,0
21104,100
21105,200
21201,100
21202,-50
21203,0
21204,200
21205,-50
21301,0
21302,0
21303,0
21304,100
21305,0
21401,200
21402,300
21501,0
21502,100
21601,0
21602,0
21603,-66.6666666666667
21703,-50
21704,0
30101,-44.4444444444444
30102,133.333333333333
30103,125
30201,-75
30202,50
30203,100
30204,50
30301,100
30302,-28.5714285714286
30303,100
30304,-50
30305,100
30401,-25
30402,-7.69230769230769
30403,-42.8571428571429
30404,7.69230769230769
30501,166.666666666667
30502,120
30503,20
30504,-83.3333333333333
30601,20
30602,2500
30603,200
30604,300
30605,2000
30701,0
30702,0
30703,150
30801,100
30803,80
30804,0
30805,-50
30901,0
30902,250
30903,100
30904,375
30905,100
30907,150
30908,400
30909,0
30910,200
31001,-50
31002,-20
31003,33.3333333333333
31004,0
31101,0
31103,400
31104,50
31105,0
31106,25
31201,66.6666666666667
31202,200
31203,500
31301,-40
31302,-90
31303,100
31304,-16.6666666666667
31305,-87.5
31401,-30
31402,33.3333333333333
31403,0
31501,500
31502,0
31503,-50
31601,0
31602,-33.3333333333333
31603,100
31605,0
31606,159.259259259259
31607,25
31608,60
31701,200
31801,0
31802,1300
31901,100
31902,150
31903,300
31905,600
40102,100
40105,0
40106,0
40202,0
40203,0
40204,-50
40301,-50
40302,100
40303,0
40304,0
40401,100
40403,100
40503,0
40602,0
40701,-66.6666666666667
40702,0
50101,0
50102,-50
50201,100
50301,-50
50302,0
50401,0
50402,0
50403,0
50501,0
50502,100
50503,0
50601,-50
50602,-50
50603,0
50604,0
50605,0
50607,0
50701,0
50702,0
50703,0
50704,-50
50705,100
50901,-50
50902,-50
51001,0
51103,0
60101,0
60102,100
60103,100
60104,100
60105,0
60106,0
60201,-66.6666666666667
60203,0
60302,-50
60401,0
60402,100
60403,0
70101,300
70102,300
70103,-50
70104,500
70201,300
70202,-50
70205,-50
80101,400
80103,800
80104,400
80105,1000
80106,200
80107,600
80109,50
