"Year","fit","lower","upper"
2014,330.916666324596,261.491724748262,399.888931414196
2014.1,332.458333006279,264.290191169675,399.590914866786
2014.2,333.999999687966,267.088657591093,399.292898319375
2014.3,335.54166636965,269.887124012506,398.994881771964
2014.4,337.083333051336,272.685590433924,398.696865224553
2014.5,338.62499973302,275.484056855337,396.508425598617
2014.6,340.166666414703,278.282523276749,396.39458863911
2014.7,341.70833309639,281.080989698168,396.283736522396
2014.8,343.249999778073,284.049674170698,395.819199617654
2014.9,344.79166645976,287.562467438703,394.938797044944
2015,346.333333141443,291.0752607067,395.678168377303
2015.1,347.874999823126,294.588053974697,395.90545009766
2015.2,349.416666504813,298.100847242702,396.312732845267
2015.3,350.958333186496,301.613640510699,396.014716297856
2015.4,352.499999868183,305.126433778704,395.716699750445
2015.5,354.041666549866,307.510477918025,395.418683203035
2015.6,355.58333323155,309.840100579653,396.131625804843
2015.7,357.124999913236,312.169723241287,397.06090391087
2015.8,358.66666659492,314.499345902916,397.990182016896
2015.9,360.208333276607,316.82896856455,398.919460122923
2016,361.74999995829,319.158591226178,399.848738228948
2016.1,363.291666639973,321.488213887807,400.778016334973
2016.2,364.83333332166,323.81783654944,401.917009294464
2016.3,366.375000003343,326.147459211069,403.711876473965
2016.4,367.91666668503,328.477081872703,405.50674365347
2016.5,369.458333366713,330.806704534331,407.301610832972
2016.6,371.000000048397,332.966946538055,408.689625068423
2016.7,372.541666730083,334.989768792897,408.524519628711
2016.8,374.083333411767,337.043929729684,408.359414189
2016.9,375.625000093453,340.008045993711,408.212241183184
2017,377.166666775137,340.976156800008,409.141519289209
2017.1,378.70833345682,341.926359040062,410.070797395234
2017.2,380.250000138507,342.876561280118,411.000075501261
2017.3,381.79166682019,343.826763520173,411.929353607286
2017.4,383.333333501877,344.776965760229,412.858631713314
2017.5,384.87500018356,345.727168000283,413.863721595332
2017.6,386.416666865243,345.907769779966,414.995243253405
2017.7,387.95833354693,347.627572480394,416.369471632234
2017.8,389.500000228613,348.236773893309,418.724511678036
2017.9,391.0416669103,347.877198267669,420.111743806762
2018,392.583333591984,348.97365371386,420.976254296372
2018.1,394.125000273667,350.263687227248,421.840764785982
2018.2,395.666666955354,351.553720740639,423.232939094857
2018.3,397.208333637037,352.843754254026,424.966869025704
2018.4,398.750000318724,354.133787767417,427.072391789099
2018.5,400.291667000407,355.229190400834,429.496156305371
2018.6,401.83333368209,355.639414710692,431.919920821643
2018.7,403.375000363777,355.777907896929,434.34368533792
2018.8,404.91666704546,356.750468955086,437.134316852735
2018.9,406.458333727147,356.102573072361,439.926813921279
2019,408.00000040883,358.506089699668,442.719310989816
2019.1,409.541667090514,357.961888991208,444.671714024513
2019.2,411.0833337722,357.081486418499,446.462507919292
2019.3,412.625000453884,356.608867014354,448.886272435564
2019.4,414.166667135571,356.747360200591,451.310036951841
2019.5,415.708333817254,356.885853386829,454.281575313947
2019.6,417.250000498937,357.024346573066,456.646012295827
2019.7,418.791667180624,357.162839759304,458.78811596239
2019.8,420.333333862307,357.301332945541,463.478524326947
2019.9,421.875000543994,357.439826131779,467.422024497329
2020,423.416667225677,358.613890795259,470.121962115575
2020.1,424.95833390736,359.985169362029,471.916829295076
2020.2,426.500000589047,359.869964575711,473.740510642708
2020.3,428.041667270731,359.754759789394,477.253303910705
2020.4,429.583333952417,359.639555003077,480.76609717871
2020.5,431.125000634101,360.21525742022,484.278890446707
2020.6,432.666667315784,369.344031267339,487.791683714704
2020.7,434.208333997471,372.94923306951,491.304476982709
2020.8,435.750000679154,375.205896324793,496.988035159927
2020.9,437.291667360841,377.764427337221,500.273147455776
2021,438.833334042524,378.984246402212,503.558259751618
2021.1,440.375000724207,378.729756548032,509.256955805448
2021.2,441.916667405894,380.884650882323,515.670210710349
2021.3,443.458334087577,383.336893942478,522.083465615235
2021.4,445.000000769264,383.847601789379,529.589996181591
2021.5,446.541667450948,384.358309636279,537.409123591086
2021.6,448.083334132631,390.498127818951,545.920246670712
2021.7,449.625000814318,390.845797441268,554.443129627375
2021.8,451.866665115703,404.951797973885,564.472382153812
2021.9,468.26666520418,414.040517178946,574.478653425445
2022,484.666665292621,419.045949216301,582.139456913283
2022.1,501.066665381061,430.603057686491,587.533135667203
2022.2,517.466665469538,431.934869875419,597.966516407169
2022.3,533.866665557978,433.266682064344,610.543138855789
2022.4,550.266665646456,437.392090033838,622.075998016639
2022.5,566.666665734896,438.453689023635,631.595466934869
2022.6,583.066665823336,457.591365982651,642.402139188035
2022.7,599.466665911813,479.792864790497,655.562019501905
2022.8,615.866666000253,507.913710285923,669.710823255488
2022.9,632.266666088731,533.809476927652,687.491742630178
2023,648.666666177171,564.155401290104,700.440760155888
2023.1,665.066666265611,590.939109291037,718.250958871582
2023.2,681.466666354088,617.722817277236,734.837252757225
2023.3,697.866666442529,636.024060420777,754.67933710768
2023.4,714.266666531006,651.713345805038,774.52142145818
2023.5,730.666666619446,663.044638222147,794.232927092433
2023.6,747.066666707886,669.588328427748,814.588624198154
2023.7,763.466666796364,678.577590971806,835.208964339329
2023.8,779.866666884804,692.051819310407,855.366181431853
2023.9,796.266666973281,702.136437686767,873.965145745624
2024,812.666667061721,712.221056063103,893.573927560996
