"SA_name","State","rank","c1MPPY","cumulative_cases","cumulative_percentage","regions_percentage"
"Pittwater","NSW",1,704.0056778,704.0056778,10.8854361488649,0.297619047619048
"Gold Coast Hinterland","QLD",2,440.0137504,1144.0194282,17.6889914832049,0.595238095238095
"Coffs Harbour","NSW",3,431.3809093,1575.4003375,24.3590645978119,0.892857142857143
"Sunshine Coast Hinterland","QLD",4,402.7521935,1978.152531,30.5864764275856,1.19047619047619
"Richmond Valley: Hinterland","NSW",5,384.0917561,2362.2442871,36.5253579141632,1.48809523809524
"Richmond Valley: Coastal","NSW",6,275.3221696,2637.5664567,40.7824285487543,1.78571428571429
"Warringah","NSW",7,261.6064129,2899.1728696,44.827424198016,2.08333333333333
"Ku-ring-gai","NSW",8,211.0499956,3110.2228652,48.0907093159731,2.38095238095238
"South Coast","NSW",9,198.7206293,3308.9434945,51.1633560146009,2.67857142857143
"Shoalhaven","NSW",10,183.7635817,3492.7070762,54.0047347110527,2.97619047619048
"Noosa Hinterland","QLD",11,160.3230892,3653.0301654,56.4836731709371,3.27380952380952
"Hornsby","NSW",12,159.8808467,3812.9110121,58.9557736142431,3.57142857142857
"Kempsey/Nambucca","QLD",13,140.2224503,3953.1334624,61.1239131300322,3.86904761904762
"Dural/Wisemans Ferry","NSW",14,134.6102704,4087.7437328,63.2052763201696,4.16666666666667
"East Tablelands/Kuranda","QLD",15,110.8000188,4198.5437516,64.9184820058247,4.46428571428571
"Manly","NSW",16,100.1545241,4298.6982757,66.4670855348721,4.76190476190476
"Kenmore/Brookfield/Moggill","QLD",17,92.43922593,4391.13750163,67.8963940237695,5.05952380952381
"Ipswich Hinterland","QLD",18,73.20644217,4464.3439438,69.0283224684624,5.35714285714286
"Caboolture Hinterland","QLD",19,62.30335504,4526.64729884,69.9916658256741,5.6547619047619
"Gosford","NSW",20,62.11703054,4588.76432938,70.9521282069056,5.95238095238095
"Granite Belt","QLD",21,56.81979602,4645.5841254,71.8306839928476,6.25
"Blue Mountains","NSW",22,54.38014731,4699.96427271,72.6715175826543,6.54761904761905
"Port Macquarie","NSW",23,50.72860305,4750.69287576,73.4558904745712,6.8452380952381
"North Sydney/Mosman","NSW",24,47.04879514,4797.7416709,74.1833656520129,7.14285714285714
"Taree/Gloucester","NSW",25,45.14978441,4842.89145531,74.881478054836,7.44047619047619
"Chatswood/Lane Cove","NSW",26,44.35569906,4887.24715437,75.5673121967775,7.73809523809524
"Hawkesbury","NSW",27,43.30269668,4930.54985105,76.2368646658099,8.03571428571429
"Gympie/Cooloola","QLD",28,39.73477899,4970.28463004,76.8512494828991,8.33333333333333
"The Gap/Enoggera","QLD",29,36.95361146,5007.2382415,77.4226314911733,8.63095238095238
"Bribie/Beachmere","QLD",30,35.17976862,5042.41801012,77.9665860885872,8.92857142857143
"Lake Macquarie - West","NSW",31,34.33290066,5076.75091078,78.4974462928794,9.22619047619048
"Mudgeeraba - Tallebudgera","QLD",32,30.48486173,5107.23577251,78.9688075706831,9.52380952380952
"Port Douglas - Daintree","QLD",33,29.67755338,5136.91332589,79.4276861316943,9.82142857142857
"Tweed Valley","NSW",34,27.51524962,5164.42857551,79.8531308437235,10.1190476190476
"Strathpine","QLD",35,27.3159983,5191.74457381,80.2754947034389,10.4166666666667
"Leichhardt","",36,26.595287,5218.33986081,80.6867148222935,10.7142857142857
"Huon - Bruny Island","",37,25.74068831,5244.08054912,81.084721014377,11.0119047619048
"Great Lakes","",38,25.0412485,5269.12179762,81.4719123684104,11.3095238095238
"Maryborough","",39,25.00052886,5294.12232648,81.8584741095655,11.6071428571429
"South East Coast","",40,24.80620155,5318.92852803,82.2420311341511,11.9047619047619
"Clarence Valley","",41,24.1363913,5343.06491933,82.6152314571673,12.202380952381
"The Hills District","",42,24.02897895,5367.09389828,82.9867709551157,12.5
"Carlingford","",43,23.78234399,5390.87624227,83.3544969481539,12.797619047619
"Innisfail - Cassowary Coast","",44,22.84107434,5413.71731661,83.7076688956821,13.0952380952381
"Ryde - Hunters Hill","",45,22.36188739,5436.079204,84.0534315862794,13.3928571428571
"Centenary","",46,21.49364728,5457.57285128,84.385769424525,13.6904761904762
"Coolangatta","",47,20.64521047,5478.21806175,84.7049886118665,13.9880952380952
"Brisbane Inner - East","",48,20.37568692,5498.59374867,85.0200403876562,14.2857142857143
"Nathan","",49,19.97824591,5518.57199458,85.3289468738925,14.5833333333333
"Cleveland - Stradbroke","",50,19.88690318,5538.45889776,85.6364410058163,14.8809523809524
"Gippsland - East","",51,19.21524922,5557.67414698,85.9335499284637,15.1785714285714
"Beaudesert","",52,18.47120032,5576.1453473,86.2191542609524,15.4761904761905
"Capalaba","",53,18.20216048,5594.34750778,86.5005986610822,15.7738095238095
"Lower Hunter","",54,18.12136738,5612.46887516,86.7807938267825,16.0714285714286
"Wyong","",55,17.99986582,5630.46874098,87.0591103180415,16.3690476190476
"Upper Hunter","",56,17.65692593,5648.12566691,87.332124223834,16.6666666666667
"Narangba - Burpengary","",57,17.22479416,5665.35046107,87.5984564465967,16.9642857142857
"North Canberra","",58,16.95030172,5682.30076279,87.8605444281222,17.2619047619048
"Darling Downs - East","",59,16.7548741,5699.05563689,88.1196106799282,17.5595238095238
"Port Stephens","",60,15.71600929,5714.77164618,88.3626138559478,17.8571428571429
"Lake Macquarie - East","",61,15.21309195,5729.98473813,88.5978408523636,18.1547619047619
"Brisbane Inner","",62,15.09735095,5745.08208908,88.831278244938,18.452380952381
"Barkly","",63,14.90690637,5759.98899545,89.0617709562679,18.75
"Brisbane Inner - West","",64,14.83166798,5774.82066343,89.2911003208861,19.047619047619
"Sherwood - Indooroopilly","",65,14.70405636,5789.52471979,89.5184565364443,19.3452380952381
"Eastern Suburbs - North","",66,14.34413492,5803.86885471,89.740247595389,19.6428571428571
"Armidale","",67,14.33743145,5818.20628616,89.961935004325,19.9404761904762
"Surfers Paradise","",68,14.1079825,5832.31426866,90.1800746408872,20.2380952380952
"Noosa","",69,14.02319436,5846.33746302,90.3969032711419,20.5357142857143
"Caboolture","",70,12.91859173,5859.25605475,90.5966523780662,20.8333333333333
"Tumut - Tumbarumba","",71,12.25805661,5871.51411136,90.7861881968032,21.1309523809524
"Goulburn - Mulwaree","NSW",72,12.09107969,5883.60519105,90.9731421946,21.4285714285714
"Caloundra","",73,11.89497923,5895.50017028,91.1570640591294,21.7261904761905
"Whitsunday","",74,11.79486373,5907.29503401,91.3394379235259,22.0238095238095
"Maroochy","",75,11.69026639,5918.9853004,91.5201944889405,22.3214285714286
"Inverell - Tenterfield","",76,11.65650608,5930.64180648,91.7004290476294,22.6190476190476
"Nambour","",77,11.40036367,5942.04217015,91.8767030958607,22.9166666666667
"Cairns - South","",78,11.10573859,5953.14790874,92.0484216091051,23.2142857142857
"Southern Highlands","",79,10.71384568,5963.86175442,92.2140806183092,23.5119047619048
"Ormeau - Oxenford","",80,10.55045445,5974.41220887,92.377213249023,23.8095238095238
"Manningham - East","",81,10.09176781,5984.50397668,92.5332536015216,24.1071428571429
"Redcliffe","",82,10.0130026,5994.51697928,92.6880760751149,24.4047619047619
"Wynnum - Manly","",83,9.923317564,6004.440296844,92.8415118258966,24.702380952381
"Sydney Inner City","",84,9.890613768,6014.330910612,92.9944419059225,25
"Mackay","",85,9.740884967,6024.071795579,93.145056857883,25.297619047619
"Broadbeach - Burleigh","",86,9.539735041,6033.61153062,93.2925616010129,25.5952380952381
"Kiama - Shellharbour","",87,9.401482802,6043.013013422,93.437928668315,25.8928571428571
"Holland Park - Yeronga","",88,9.212015693,6052.225029115,93.5803661681685,26.1904761904762
"South Canberra","",89,9.032199792,6061.257228907,93.7200233289273,26.4880952380952
"Alice Springs","",90,9.015608272,6070.272837179,93.8594239492386,26.7857142857143
"Baulkham Hills","",91,8.902383584,6079.175220763,93.9970738732835,27.0833333333333
"Pennant Hills - Epping","",92,8.590548678,6087.765769441,94.1299021615585,27.3809523809524
"Gladstone","",93,8.476024857,6096.241794298,94.2609596661875,27.6785714285714
"Brisbane Inner - North","",94,8.309704535,6104.551498833,94.389445502288,27.9761904761905
"Newcastle","",95,8.254315459,6112.805814292,94.5170749045996,28.2738095238095
"Far North","",96,8.194795758,6121.00061005,94.6437840048094,28.5714285714286
"Lithgow - Mudgee","",97,7.613087659,6128.613697709,94.7614986514679,28.8690476190476
"Toowoomba","",98,7.359672279,6135.973369988,94.8752949533954,29.1666666666667
"Woden Valley","",99,7.255858501,6143.229228489,94.9874860718885,29.4642857142857
"Queanbeyan","NSW",100,7.244277021,6150.47350551,95.0994981158867,29.7619047619048
"Bundaberg","",101,6.835343413,6157.308848923,95.2051871701431,30.0595238095238
"Maitland","",102,6.575472174,6163.884321097,95.3068580582564,30.3571428571429
"Biloela","",103,6.180087757,6170.064408854,95.4024154561504,30.6547619047619
"Central Highlands (Qld)","",104,6.095925483,6176.160334337,95.4966715249662,30.952380952381
"Orange","",105,6.016720466,6182.177054803,95.5897029145182,31.25
"Sandgate","",106,5.906918774,6188.083973577,95.6810365346558,31.547619047619
"Mt Gravatt","",107,5.773958753,6193.85793233,95.7703143079948,31.8452380952381
"Devonport","",108,5.729936627,6199.587868957,95.858911404946,32.1428571428571
"Rouse Hill - McGraths Hill","",109,5.622336418,6205.210205375,95.9458447721268,32.4404761904762
"Springwood - Kingston","",110,5.612705369,6210.822910744,96.0326292226551,32.7380952380952
"Springfield - Redbank","",111,5.474787236,6216.29769798,96.1172811633501,33.0357142857143
"North Lakes","",112,5.450963676,6221.748661656,96.2015647407643,33.3333333333333
"Cronulla - Miranda - Caringbah","",113,5.436969216,6227.185630872,96.285631933843,33.6309523809524
"Burnett","",114,5.426721175,6232.612352047,96.3695406702509,33.9285714285714
"Tamworth - Gunnedah","",115,5.379693379,6237.992045426,96.452722256173,34.2261904761905
"Rockhampton","",116,5.23553944,6243.227584866,96.5336749133406,34.5238095238095
"Tuggeranong","",117,5.181116282,6248.408701148,96.613786071881,34.8214285714286
"Sorell - Dodges Ferry","",118,5.136951117,6253.545652265,96.6932143423442,35.1190476190476
"Hobart - South and West","",119,5.102561486,6258.648213751,96.7721108754305,35.4166666666667
"Outback - South","",120,5.088592394,6263.736806145,96.850791416425,35.7142857142857
"Robina","",121,5.084375207,6268.821181352,96.9294067506729,36.0119047619048
"Bowen Basin - North","",122,5.068732006,6273.889913358,97.0077802075169,36.3095238095238
"Browns Plains","",123,4.947854561,6278.837767919,97.0842846400748,36.6071428571429
