"SA_code","SA_name","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","ct24pos","ct24all","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","cpp14","cpp15","cpp16","cpp17","cpp18","cpp19","cpp20","cpp21","cpp22","cpp23","cpp24","tpp14","tpp15","tpp16","tpp17","tpp18","tpp19","tpp20","tpp21","tpp22","tpp23","tpp24","ccpp24","ctpp24","c1M","t1M","c1MPPY"
10102,"Queanbeyan",0,0,0,1,1,0,0,0,0,1,1,NA,1,NA,2,2,NA,2,3,1,5,1,4,17,57812,58408,59122,60408,61622,62840,63957,64892,65769,66897,68473,0,0,0,1.65540987948616,1.62279705300055,0,0,0,0,1.49483534388687,1.4604296584055,NA,1.71209423366662,NA,3.31081975897232,3.2455941060011,NA,3.12710102099848,4.62306601738273,1.52047317125089,7.47417671943435,1.4604296584055,5.84171863362201,24.8273041928935,58.4171863362201,248.273041928935,5.79542161692263
10103,"Snowy Mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,4,19643,19649,19688,19861,20063,20273,20508,20720,20867,21168,21296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08931752252023,NA,5.03499320275918,NA,NA,NA,NA,4.79225571476494,4.72411186696901,NA,NA,18.7828700225394,NA,187.828700225394,0
10104,"South Coast",5,11,6,8,9,12,9,15,13,27,39,7,11,11,11,11,20,21,27,30,49,68,154,266,71213,71611,72019,72832,73669,74501,75539,76437,76980,77443,78003,7.02118995127294,15.3607685970033,8.33113483941738,10.9841827768014,12.2168076124286,16.1071663467604,11.9143753557765,19.6240040817929,16.8875032475968,34.8643518458737,49.9980769970386,9.82966593178212,15.3607685970033,15.2737472055985,15.1032513181019,14.9316537485238,26.8452772446007,27.8002091634785,35.3232073472271,38.971161340608,63.2723422388079,87.1761342512468,197.428304039588,341.012525159289,1974.28304039588,3410.12525159289,187.748324590032
10105,"Goulburn - Mulwaree",0,0,1,0,0,0,0,1,2,0,0,NA,NA,3,NA,NA,1,1,1,2,3,1,4,12,35430,35853,36320,36768,37233,37725,38231,38484,38784,39138,39562,0,0,2.75330396475771,0,0,0,0,2.59848248622804,5.15676567656766,0,0,NA,NA,8.25991189427313,NA,NA,2.65076209410205,2.61567837618686,2.59848248622804,5.15676567656766,7.66518473095202,2.52767807492038,10.1107122996815,30.3321368990445,101.107122996815,303.321368990445,9.67286374804125
10106,"Young - Yass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,3,36288,36438,36666,36978,37253,37562,37859,38085,38237,38449,38753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62570565839569,2.61526793419986,NA,2.58044538487343,NA,7.74133615462029,NA,77.4133615462029,0
10201,"Gosford",5,8,7,10,9,10,8,11,10,14,18,18,34,30,46,29,25,40,29,39,53,74,111,417,171694,172780,174137,175545,176740,177962,179107,179150,178868,180295,181658,2.9121576758652,4.63016552841764,4.01982347232352,5.69654504542995,5.09222586850741,5.61917712770142,4.46660376199702,6.14010605637734,5.59071494062661,7.76505172079093,9.90872959076947,10.4837676331147,19.678203495775,17.2278148813865,26.2041072089778,16.4082833540794,14.0479428192535,22.3330188099851,16.1875523304493,21.8037882684438,29.3962672287085,40.7358883176078,61.1038324764117,229.552235519493,611.038324764117,2295.52235519493,56.4700277627191
10202,"Wyong",0,2,5,1,2,3,2,3,6,4,2,2,9,17,14,12,14,12,9,24,28,24,31,165,158683,160484,162474,164595,166334,167733,168627,169343,170290,171639,173145,0,1.2462301537848,3.07741546339722,0.607551869740879,1.2023999903808,1.78855681350718,1.18604968362125,1.77155241137809,3.52340125667978,2.33047267812094,1.15510121574403,1.26037445725125,5.6080356920316,10.4632125755505,8.50572617637231,7.2143999422848,8.34659846303351,7.11629810172748,5.31465723413427,14.0936050267191,16.3133087468466,13.8612145889284,17.9040688440325,95.2958502988824,179.040688440325,952.958502988824,16.3635143810746
10301,"Bathurst",0,0,0,0,2,0,0,0,0,0,0,NA,NA,1,NA,3,NA,NA,NA,2,3,2,2,11,46469,47018,47588,47992,48337,48695,48984,49241,49698,50193,50529,0,0,0,0,4.13761714628545,0,0,0,0,0,0,NA,NA,2.10137009330083,NA,6.20642571942818,NA,NA,NA,4.02430681315143,5.97692905385213,3.95812305804587,3.95812305804587,21.7696768192523,39.5812305804587,217.696768192523,3.74010741588498
10302,"Lachlan Valley",0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,3,1,NA,2,3,3,3,1,15,56508,56430,56363,56188,55966,55717,55398,54907,54650,54431,54344,0,0,0,0,0,0,0,1.82126140564955,0,0,0,NA,NA,NA,NA,5.36039738412608,1.79478435665955,NA,3.64252281129911,5.48947849954254,5.51156510076978,5.52038863535993,1.84012954511998,27.6019431767996,18.4012954511998,276.019431767996,1.63692376191271
10303,"Lithgow - Mudgee",0,0,0,0,1,1,0,0,1,1,0,1,1,NA,NA,3,4,NA,NA,2,2,3,4,16,46824,47252,47505,47738,47946,48013,48044,47891,47912,47959,48327,0,0,0,0,2.08567972302173,2.08276924999479,0,0,2.08715979295375,2.08511436852311,0,2.13565692807107,2.11631253703547,NA,NA,6.2570391690652,8.33107699997917,NA,NA,4.1743195859075,4.17022873704623,6.20770997578993,8.27694663438658,33.1077865375463,82.7694663438658,331.077865375463,7.61308765899458
10304,"Orange",1,0,0,1,1,0,0,0,1,0,0,1,NA,NA,3,1,NA,3,NA,1,3,3,4,15,57925,58200,58703,59405,60185,60818,61142,61506,61860,62270,62800,1.72637030643073,0,0,1.68335998653312,1.66154357398023,0,0,0,1.61655350792111,0,0,1.72637030643073,NA,NA,5.05007995959936,1.66154357398023,NA,4.90661084033888,NA,1.61655350792111,4.81772924361651,4.77707006369427,6.36942675159236,23.8853503184713,63.6942675159236,238.853503184713,6.0167204661755
10401,"Clarence Valley",1,0,3,1,1,0,1,2,2,2,1,2,4,7,5,5,4,6,7,9,7,4,14,60,51084,51135,51215,51534,51877,52170,52448,53760,54217,54881,55716,1.95756009709498,0,5.85765888899736,1.94046648814375,1.92763652485687,0,1.90665039658328,3.7202380952381,3.68887987162698,3.64424846486033,1.79481656974657,3.91512019418996,7.82243082037743,13.6678707409938,9.70233244071875,9.63818262428437,7.6672417097949,11.4399023794997,13.0208333333333,16.5999594223214,12.7548696270112,7.17926627898629,25.127431976452,107.688994184794,251.27431976452,1076.88994184794,24.1363912991757
