SA_code,SA_name,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,ct24pos,ct24all,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,cpp14,cpp15,cpp16,cpp17,cpp18,cpp19,cpp20,cpp21,cpp22,cpp23,cpp24,tpp14,tpp15,tpp16,tpp17,tpp18,tpp19,tpp20,tpp21,tpp22,tpp23,tpp24,ccpp24,ctpp24,c1M,t1M,c1MPPY,ESCat
40101,Adelaide City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,22624,23085,23552,24188,24688,25376,25964,25522,26183,27901,29118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.851486673856109,NA,NA,NA,NA,NA,3.434301806,NA,34.343018064427504,0,0 Suspected cases
40102,Adelaide Hills,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,NA,1,1,1,NA,NA,2,1,6,71692,72465,73164,74195,75382,77004,78778,80493,82125,83749,85575,0,0,0,0,0,0,0,0,0,0,1.168565586,NA,NA,NA,1.347799716962059,NA,1.298633837203262,1.269389931199066,1.242344054762526,NA,NA,2.337131171,1.168565586,7.011393514460999,11.685655857434998,70.11393514,1.170107954159851,<10 Suspected cases
50901,Albany,0,0,0,1,0,0,0,0,0,0,0,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,1,4,60060,60290,60234,61002,61712,62375,63207,63947,64437,65218,65998,0,0,0,1.639290515,0,0,0,0,0,0,0,NA,3.317299718029524,NA,1.639290515,NA,NA,NA,NA,NA,1.533319022355791,NA,1.515197430225158,6.060789720900633,15.151974302251583,60.60789720900633,1.452475017,<10 Suspected cases
10901,Albury,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,3,61128,61752,62520,63480,64442,65271,66203,66976,67740,68746,69679,0,0,0,0,1.551782998665467,0,0,0,0,0,0,NA,NA,NA,NA,1.551782998665467,NA,NA,1.493072145246058,NA,NA,1.435152628482039,1.435152628482039,4.305457885446118,14.351526284820391,43.05457885446118,1.392879876646558,<10 Suspected cases
70201,Alice Springs,1,0,1,0,0,0,1,1,0,0,0,1,NA,1,NA,NA,NA,4,3,6,3,4,4,22,40425,39748,39243,39463,39662,39978,40230,40558,40979,41427,41962,2.473716759431045,0,2.548225161175241,0,0,0,2.485707183693761,2.465604812860595,0,0,0,2.473716759431045,NA,2.548225161175241,NA,NA,NA,9.942828734775043,7.396814438581784,14.641645720979039,7.241653993772178,9.532434107049236,9.532434107049236,52.42838758877079,95.32434107049235,524.2838759,9.015608272,<10 Suspected cases
50601,Armadale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,75559,78848,82021,84875,88068,91543,94970,97644,100849,105094,109218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.438399921971202,NA,NA,NA,NA,NA,NA,0.951529107,NA,NA,2.746799978,NA,27.467999780256005,0,0 Suspected cases
11001,Armidale,3,0,1,0,0,1,0,0,0,1,0,4,1,2,2,1,1,1,2,2,1,3,6,20,37859,37943,38060,38204,38271,38305,38122,37766,37778,38023,38154,7.924139570511635,0,2.627430373095113,0,0,2.610625244746116,0,0,0,2.629987113063146,0,10.565519427348846,2.635532245737026,5.254860746190226,5.235053921055387,2.612944527187688,2.610625244746116,2.623157232044489,5.295768680824022,5.294086505373498,2.629987113063146,7.862871520679352,15.725743041358704,52.419143471195675,157.25743041358703,524.1914347119567,14.337431449155885,10-29 Suspected cases
12501,Auburn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,2,1,1,3,2,NA,15,86896,90055,93936,97621,100783,104051,105284,104476,105477,109712,113554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.150800957466396,NA,NA,1.024369756507309,1.984461665161783,1.922134337968881,1.899623874472854,0.957157625,0.948073988,2.734431967332653,1.761276573260299,NA,13.209574299452242,NA,132.09574299452242,0,0 Suspected cases
50101,Augusta - Margaret River - Busselton,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,2,5,49841,51285,52509,53783,54916,56323,57750,59209,60727,62470,64288,0,0,0,0,3.641925850389686,0,0,0,0,0,0,NA,NA,NA,NA,3.641925850389686,1.775473607584823,3.463203463203463,NA,NA,NA,NA,3.111000498,7.777501244400199,31.110004977600795,77.77501244400199,3.209752512,<10 Suspected cases
30201,Bald Hills - Everton Park,2,0,0,0,0,0,0,0,0,0,0,4,1,2,2,2,7,4,4,4,NA,1,2,31,41598,42049,42530,43295,44095,45149,46057,46713,47712,48851,49958,4.807923457858551,0,0,0,0,0,0,0,0,0,0,9.615846915717102,2.378177840138886,4.702562896778744,4.619471070562421,4.535661639641683,15.504219362555096,8.684890462,8.562926808383105,8.383635144198525,NA,2.001681412386405,4.003362824772809,62.05212378397854,40.033628247728096,620.5212378397854,4.016007807119177,<10 Suspected cases
