Year,fitted,se,lower,upper
2014,353.1623376623365,36.26561174750862,282.0817386372196,424.2429366874534
2015,356.9792207792219,28.82794647518192,300.47644568786535,413.4819958705785
2016,360.7961038961046,22.853132825078717,316.0039635589503,405.58824423325893
2017,364.61298701298745,19.719029926820554,325.96368835641914,403.26228566955575
2018,368.4298701298702,20.755092916641374,327.7498880132531,409.1098522464873
2019,372.246753246753,25.45715816998055,322.3507232335911,422.14278325991484
2020,376.06363636363574,32.26017981341418,312.8336839293439,439.29358879792755
2021,472.9090909090905,23.67250012982732,426.5109906546289,519.307191163552
2022,569.7545454545452,22.517039035591203,525.6211489447865,613.887941964304
2023,666.6,29.675049371396273,608.4369032320633,724.7630967679368
2024,763.4454545454547,41.00197296704245,683.0815875300515,843.8093215608579
